Name,Author,Year
Harry Potter and the Deathly Hallows,J K Rowling,2014
The Hunger Games,Suzanne Collins,2008
The Kite Runner,Khaled Hosseini,2003
Life of Pi,Yann Martel,2001
The Fault in Our Stars,John Green,2012
The Help,Kathryn Stockett,2009
To Kill a Mockingbird,Harper Lee,1960
1984,George Orwell,1949
The Great Gatsby,F Scott Fitzgerald,1925
Harry Potter and the Sorcerer's Stone,J K Rowling,1997
The Hobbit,J R R Tolkien,1937
Farhenheit 451,Ray Bradbury,1953
Pride and Prejudice,Jane Austen,1813
The Picture of Dorian Gray,Oscar Wilde,1890
Wuthering Heights,Emily Bronte,1847
Crime and Punishment,Fyodor Dostoevsky ,1866
Frankenstein,Mary Shelly,1818
Through the Looking Glass,Lewis Carroll,1871
Dracula,Bram Stoker,1897
Gulliver's Travels,Jonathan Swift,1726
Robinson Crusoe,Daniel Defoe,1719
The US Constitution,Founding Fathers,1787
The Decline and Fall of the Roman Empire,Edward Gibbon,1776
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791
The Monk,Matthew Lewis,1796
Hamlet,William Shakespeare,1601
Macbeth,William Shakespeare,1623
Paradise Lost,John Milton,1667
The Pilgrim's Progress,John Bunyan,1678
Leviathan,Thomas Hobbes,1651
An Essay Concerning Human Understanding,John Locke,1690
Romeo and Juliet,William Shakespeare,1597
A Midsummer Night's Dream,William Shakespeare,1595
Essays,Francis Bacon,1597
Edward II,Christopher Marlowe,1593
Dr Faustus,Christopher Marlowe,1588